categoria;familia;id;nome;unidade;preco;fator_perda;consumo_por_m2;preco_por_m2;forro_integrado;observacao
telha;Telha Colonial PIR (Isotelha);TL-COL-CIN-AC;Isotelha Colonial Cinza Ardósia Forro Amadeirado Claro;m2;142,00;1,10;;;SIM;confirmado
telha;Telha Colonial PIR (Isotelha);TL-COL-MAR-PT;Isotelha Colonial Marfim Forro Preto;m2;135,00;1,10;;;SIM;confirmado
telha;Telha Colonial PIR (Isotelha);TL-COL-MAR-BR;Isotelha Colonial Marfim Forro Branco;m2;135,00;1,10;;;SIM;confirmado
telha;Telha Colonial PIR (Isotelha);TL-COL-MAR-AE;Isotelha Colonial Marfim Forro Amadeirado Escuro;m2;142,00;1,10;;;SIM;confirmado
telha;Telha Colonial PIR (Isotelha);TL-COL-MAR-AC;Isotelha Colonial Marfim Forro Amadeirado Claro;m2;142,00;1,10;;;SIM;confirmado
telha;Telha Galvalume (simples);TL-GV-OND;Telha Comum Galvalume Ondulada;m2;35,00;1,08;;;NAO;confirmado
telha;Telha Galvalume (simples);TL-GV-TP25;Telha Galvalume TP 25/1020;m2;38,00;1,08;;;NAO;confirmado
telha;Telha Galvalume (simples);TL-GV-TP40-980;Telha Galvalume TP 40/980;m2;42,00;1,08;;;NAO;confirmado
telha;Telha Galvalume (simples);TL-GV-TP40-1020;Telha Galvalume TP 40/1020;m2;42,00;1,08;;;NAO;confirmado
telha;Telha Galvalume (simples);TL-GV-TP100;Telha Galvalume TP 100/950;m2;55,00;1,08;;;NAO;confirmado
telha;Telha de Concreto;TL-CONC-TRAD;Telha de Concreto Tradição;m2;48,00;1,10;;;NAO;confirmado
telha;Telha Fibra de Vidro;TL-FIBRA-NAT;Telha Fibra de Vidro natural;m2;60,00;1,08;;;NAO;confirmado
telha;Telha Fibra de Vidro;TL-FIBRA-COLOR;Telha Fibra de Vidro Colorida;m2;68,00;1,08;;;NAO;confirmado
telha;Telha Fibra de Vidro;TL-FIBRA-FIBRO;Telha Fibra de Vidro Medidas Fibrocimento;m2;62,00;1,08;;;NAO;confirmado
telha;Telha Translúcida;TL-TRANS-ISOLUZ;Isoluz Translúcida Policarbonato 3 Trapézios;m2;180,00;1,05;;;NAO;confirmado
telha;Painel EPS (fechamento);PN-EPS-FRIGO;Painel EPS - Frigo;m2;150,00;1,05;;;SIM;confirmado
telha;Painel PIR (fechamento);PN-PIR-SALA;Painel Térmico PIR - Sala Limpa;m2;210,00;1,05;;;SIM;confirmado
telha;Painel PIR (fechamento);PN-PIR-FRIGO;Painel Térmico PIR - Frigo;m2;200,00;1,05;;;SIM;confirmado
estrutura;;ES-NENHUMA;Sem estrutura (cliente já possui);m2;;;;0,00;;
estrutura;;ES-GALV;Estrutura Linha Galvanizada (caibros/ripas/vigas);m2;;;;70,00;;PREÇO ESTIMADO por m² coberto - confirmar
acessorio;;parafuso_fixacao;Parafuso Fixação 4" Auto Brocante BW 12x4 Aço;un;0,95;;6;;;6 por m²acessorio;;parafuso_costura;Parafuso Costura Auto Brocante BW 12x7/8;un;0,65;;2;;;2 por m²acessorio;;cumeeira;Cumeeira Galvalume;m;45,00;;;;;por metro linear - confirmadoacessorio;;rufo;Rufo Galvalume;m;32,00;;;;;por metro linearacessorio;;calha;Calha Galvalume;m;48,00;;;;;por metro linear
